epoch,train_loss,val_loss
1,0.6892263399510226,0.691334168592137
2,0.6880867068861186,0.6867421121892339
3,0.6878441791880167,0.6871460689280086
4,0.6875753163210935,0.686480759265656
5,0.6871599412756744,0.6862609218694493
6,0.6864046252746236,0.6866842320341312
7,0.6867492677942143,0.6858415613155403
8,0.6862627141785406,0.6857078393062431
9,0.6854309138934778,0.6858613546974882
10,0.6858770924752573,0.6863720149337175
11,0.6852261252993903,0.6865505790877009
12,0.6855564272295672,0.6857766481692682
13,0.6839866600367958,0.6859448698466409
14,0.6839176387585182,0.685951822948551
15,0.6834599703460301,0.686882296960035
